#{"t_start": 1764699795.7484922, "env_id": "None"}
r,l,t
-3.76,212,3521.317643
-2.4,280,3521.606187
23.2,360,3566.249796
-15.8,210,3566.482378
23.6,380,3566.925428
37.1,455,3567.431893
-3.84,208,3567.622192
155.44,972,3587.0847
9.8,290,3587.439093
9.74,287,3587.806178
-2.64,268,3588.063102
179.08,954,3589.058651
35.52,376,3632.736032
179.12,956,3633.777393
34.92,346,3634.14104
219.9,1195,3658.241366
63.28,564,3658.895888
-15.74,213,3659.133274
-15.74,213,3659.358911
-2.4,280,3705.042873
74.76,538,3705.748415
-2.74,263,3706.039711
86.92,546,3706.697157
35.72,386,3707.142915
112.98,649,3707.968683
413.16,1858,3776.383927
137.62,681,3777.127906
-15.84,208,3777.337071
87.82,591,3778.024332
102.94,747,3778.952595
-15.86,207,3779.189395
-15.7,215,3779.41036
35.8,390,3780.078761
87.82,591,3780.862185
-2.54,273,3781.258034
9.5,275,3878.949196
23.3,365,3879.342978
193.68,1084,3880.477318
86.42,521,3881.015518
50.02,501,3881.508459
101.92,696,3882.219932
-2.36,282,3882.480345
9.36,268,3882.742885
-16.1,195,3922.914929
23.4,370,3923.287992
34.96,348,3923.733759
-2.62,269,3941.383435
9.74,287,3941.701344
-2.38,281,3942.00538
-15.9,205,3942.197455
22.92,346,3942.497251
-15.92,204,3942.686355
64.12,606,3943.29753
35.02,351,3943.626231
165.38,869,3995.276398
9.52,276,3995.534032
23.56,378,3995.886643
9.54,277,3996.191398
35.42,371,3996.59883
-15.94,203,3996.80589
-15.92,204,3996.997995
-16.04,198,4017.470776
48.92,446,4017.960031
-15.94,203,4018.173301
35.5,375,4018.523564
36.58,429,4018.931075
86.38,519,4019.423243
35.44,372,4061.646325
60.92,446,4062.100332
256.88,1244,4063.276906
9.66,283,4063.533626
36.82,441,4063.938731
23.18,359,4085.502726
189.74,887,4086.353766
35.44,372,4123.03459
9.74,287,4123.325028
62.74,537,4123.860054
36.04,402,4124.231431
9.46,273,4124.510495
218.86,1143,4125.589667
9.62,281,4125.834284
9.74,287,4126.113635
35.34,367,4147.079312
